 Model Type,Accuracy,Precision,Recall,F1 Score
RandomForest (ECG only),0.7264957264957265,0.75,0.9545454545454546,0.84
RandomForest (PCG only),0.717948717948718,0.7835051546391752,0.8636363636363636,0.8216216216216217
RandomForest (ECG + PCG),0.7350427350427351,0.7938144329896907,0.875,0.8324324324324325

RandomForest (ECG only),0.7264957264957265,0.7592592592592593,0.9318181818181818,0.8367346938775511
RandomForest (PCG only),0.7094017094017094,0.7755102040816326,0.8636363636363636,0.8172043010752689
RandomForest (ECG + PCG),0.7264957264957265,0.7745098039215687,0.8977272727272727,0.8315789473684211

RandomForest (ECG only),0.7435897435897436,0.7735849056603774,0.9318181818181818,0.845360824742268
RandomForest (PCG only),0.7094017094017094,0.7872340425531915,0.8409090909090909,0.8131868131868132
RandomForest (ECG + PCG),0.7264957264957265,0.78,0.8863636363636364,0.8297872340425532

RandomForest (ECG only),0.717948717948718,0.7522935779816514,0.9318181818181818,0.8324873096446701
RandomForest (PCG only),0.7094017094017094,0.7755102040816326,0.8636363636363636,0.8172043010752689
RandomForest (ECG + PCG),0.7008547008547008,0.7676767676767676,0.8636363636363636,0.8128342245989305

RandomForest (ECG only),0.7094017094017094,0.75,0.9204545454545454,0.826530612244898
RandomForest (PCG only),0.717948717948718,0.7777777777777778,0.875,0.8235294117647058
RandomForest (ECG + PCG),0.7350427350427351,0.7878787878787878,0.8863636363636364,0.8342245989304813

RandomForest (ECG only),0.717948717948718,0.7522935779816514,0.9318181818181818,0.8324873096446701
RandomForest (PCG only),0.717948717948718,0.7835051546391752,0.8636363636363636,0.8216216216216217
RandomForest (ECG + PCG),0.7008547008547008,0.7676767676767676,0.8636363636363636,0.8128342245989305

RandomForest (ECG only),0.7264957264957265,0.7641509433962265,0.9204545454545454,0.8350515463917526
RandomForest (PCG only),0.6923076923076923,0.76,0.8636363636363636,0.8085106382978723
RandomForest (ECG + PCG),0.717948717948718,0.7777777777777778,0.875,0.8235294117647058

RandomForest (ECG only),0.7094017094017094,0.75,0.9204545454545454,0.826530612244898
RandomForest (PCG only),0.7094017094017094,0.78125,0.8522727272727273,0.8152173913043478
RandomForest (ECG + PCG),0.7350427350427351,0.7766990291262136,0.9090909090909091,0.837696335078534

RandomForest (ECG only),0.717948717948718,0.7570093457943925,0.9204545454545454,0.8307692307692308
RandomForest (PCG only),0.717948717948718,0.7777777777777778,0.875,0.8235294117647058
RandomForest (ECG + PCG),0.7008547008547008,0.7731958762886598,0.8522727272727273,0.8108108108108109

RandomForest (ECG only),0.717948717948718,0.7570093457943925,0.9204545454545454,0.8307692307692308
RandomForest (PCG only),0.7094017094017094,0.78125,0.8522727272727273,0.8152173913043478
RandomForest (ECG + PCG),0.7350427350427351,0.7821782178217822,0.8977272727272727,0.8359788359788359

RandomForest (ECG only),0.7350427350427351,0.7567567567567568,0.9545454545454546,0.8442211055276382
Logistic (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (PCG only),0.717948717948718,0.7835051546391752,0.8636363636363636,0.8216216216216217
Logistic (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7264957264957265,0.7857142857142857,0.875,0.8279569892473119
Logistic (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536

RandomForest (ECG only),0.717948717948718,0.7522935779816514,0.9318181818181818,0.8324873096446701
Logistic (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (PCG only),0.7094017094017094,0.78125,0.8522727272727273,0.8152173913043478
Logistic (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.6923076923076923,0.7549019607843137,0.875,0.8105263157894737
Logistic (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536

RandomForest (ECG only),0.7264957264957265,0.75,0.9545454545454546,0.84
Logistic (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (PCG only),0.7008547008547008,0.7789473684210526,0.8409090909090909,0.8087431693989071
Logistic (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7350427350427351,0.7878787878787878,0.8863636363636364,0.8342245989304813
Logistic (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
SVM (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536

RandomForest (ECG only),0.7350427350427351,0.7567567567567568,0.9545454545454546,0.8442211055276382
DeepModel (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (PCG only),0.717948717948718,0.7777777777777778,0.875,0.8235294117647058
DeepModel (PCG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7008547008547008,0.7676767676767676,0.8636363636363636,0.8128342245989305
DeepModel (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536

RandomForest (ECG only),0.717948717948718,0.7570093457943925,0.9204545454545454,0.8307692307692308
DeepModel (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (PCG only),0.7008547008547008,0.7676767676767676,0.8636363636363636,0.8128342245989305
DeepModel (PCG only),0.7521367521367521,0.7565217391304347,0.9886363636363636,0.8571428571428571
RandomForest (ECG + PCG),0.7008547008547008,0.7731958762886598,0.8522727272727273,0.8108108108108109
DeepModel (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536

DeepModel (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG only),0.7094017094017094,0.7454545454545455,0.9318181818181818,0.8282828282828283
DeepModel (PCG only),0.7777777777777778,0.7767857142857143,0.9886363636363636,0.87
RandomForest (PCG only),0.7094017094017094,0.78125,0.8522727272727273,0.8152173913043478
DeepModel (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7264957264957265,0.7857142857142857,0.875,0.8279569892473119

DeepModel (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG only),0.7264957264957265,0.75,0.9545454545454546,0.84
DeepModel (PCG only),0.7606837606837606,0.7586206896551724,1.0,0.8627450980392157
RandomForest (PCG only),0.7435897435897436,0.7959183673469388,0.8863636363636364,0.8387096774193549
DeepModel (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7350427350427351,0.8,0.8636363636363636,0.8306010928961749

DeepModel (ECG only),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG only),0.7264957264957265,0.7545454545454545,0.9431818181818182,0.8383838383838383
DeepModel (PCG only),0.7606837606837606,0.7631578947368421,0.9886363636363636,0.8613861386138614
RandomForest (PCG only),0.7008547008547008,0.7676767676767676,0.8636363636363636,0.8128342245989305
DeepModel (ECG + PCG),0.7521367521367521,0.7521367521367521,1.0,0.8585365853658536
RandomForest (ECG + PCG),0.7350427350427351,0.7878787878787878,0.8863636363636364,0.8342245989304813
